Session,Frame,LeftPlayerME,LeftID,RightPlayerME,RightID,MinMaxLeftME,MinMaxRightME,ZscoreLeftME,ZscoreRightME
S23,1,0,P048,0,P049,0.0,0.0,-0.3678833253374729,-0.3678833253374729
S23,2,5075,P048,7625,P049,0.19107680722891568,0.8200688320068833,3.6360357070435625,5.6478570927719645
S23,3,5990,P048,5640,P049,0.22552710843373497,0.6065820606582061,4.357924557216695,4.081792210155934
S23,4,6645,P048,5021,P049,0.2501882530120482,0.5400086040008605,4.874686521001833,3.5934324306399024
S23,5,6645,P048,2158,P049,0.2501882530120482,0.23209292320929234,4.874686521001833,1.3346698316828767
S23,6,6606,P048,1686,P049,0.2487198795180723,0.18132931813293182,4.843917488043634,0.9622856379323647
S23,7,6153,P048,1956,P049,0.23166415662650605,0.21036782103678212,4.486523335990706,1.175302019950666
S23,8,5899,P048,1397,P049,0.22210090361445786,0.1502473650247365,4.286130146980897,0.7342792142164791
S23,9,5474,P048,409,P049,0.20609939759036147,0.043987954398795444,3.95082658269283,-0.04520295405789785
S23,10,4884,P048,351,P049,0.18388554216867473,0.03775005377500538,3.48534634050469,-0.09096202871368111
S23,11,4326,P048,299,P049,0.1628765060240964,0.03215745321574533,3.0451124843335338,-0.1319874059912799
S23,12,3976,P048,215,P049,0.1496987951807229,0.023123252312325232,2.7689801372727727,-0.19825916928586257
S23,13,3616,P048,100,P049,0.13614457831325302,0.010755001075500108,2.484958294581704,-0.28898836903439834
S23,14,3272,P048,177,P049,0.12319277108433736,0.01903635190363519,2.2135596448991275,-0.2282392526810309
S23,15,3157,P048,486,P049,0.11886295180722893,0.052269305226930525,2.122830445150592,0.015546162295469587
S23,16,2857,P048,941,P049,0.10756777108433736,0.10120456012045602,1.8861455762413681,0.37451821347445896
S23,17,2527,P048,1708,P049,0.09514307228915664,0.18369541836954184,1.6257922204412218,0.979642528319041
S23,18,2436,P048,2066,P049,0.09171686746987953,0.22219832221983224,1.5539978102054242,1.262086471884048
S23,19,2473,P048,2048,P049,0.09310993975903616,0.22026242202624222,1.5831889440375617,1.2478853797494946
S23,20,2467,P048,2093,P049,0.09288403614457832,0.22510217251021727,1.578455246659377,1.2833881100858782
S23,21,2341,P048,2218,P049,0.08814006024096387,0.2385459238545924,1.4790476017175032,1.3820068054647214
S23,22,2327,P048,2428,P049,0.08761295180722892,0.2611314261131426,1.4680023078350728,1.5476862137011782
S23,23,2258,P048,2693,P049,0.08501506024096386,0.2896321789632179,1.4135647879859512,1.7567578479043258
S23,24,2270,P048,2511,P049,0.08546686746987953,0.2700580770058077,1.4230321827423202,1.61316902743273
S23,25,2427,P048,2378,P049,0.09137801204819278,0.25575392557539256,1.5468972641381473,1.5082387355496407
S23,26,2735,P048,2430,P049,0.10297439759036145,0.26134652613465265,1.789893729551617,1.5492641128272395
S23,27,3047,P048,2066,P049,0.11472138554216868,0.22219832221983224,2.03604599321721,1.262086471884048
S23,28,3290,P048,1115,P049,0.12387048192771086,0.1199182619918262,2.227760737033681,0.5117954374418088
S23,29,3825,P048,592,P049,0.14401355421686748,0.06366960636696065,2.6498487532551303,0.09917481597672866
S23,30,4557,P048,814,P049,0.1715737951807229,0.08754570875457088,3.227359833393636,0.27432161896955426
S23,31,4731,P048,1374,P049,0.178125,0.14777371477737147,3.364637057360986,0.7161333742667719
S23,32,3980,P048,1850,P049,0.14984939759036145,0.19896751989675202,2.772135935524896,1.091673366269407
S23,33,3264,P048,1812,P049,0.12289156626506025,0.19488061948806196,2.2072480483948818,1.0616932828742387
S23,34,2739,P048,1783,P049,0.10312500000000001,0.19176166917616694,1.7930495278037402,1.0388137455463469
S23,35,2972,P048,1555,P049,0.1118975903614458,0.16724026672402667,1.976874775989904,0.8589332451753369
S23,36,3296,P048,961,P049,0.12409638554216869,0.10335556033555604,2.2324944344118656,0.3902972047350739
S23,37,3753,P048,676,P049,0.1413027108433735,0.07270380727038073,2.5930443847169165,0.16544657927131132
S23,38,4412,P048,678,P049,0.1661144578313253,0.07291890729189074,3.112962146754178,0.1670244783973728
S23,39,5079,P048,557,P049,0.19122740963855422,0.059905355990535605,3.6391915052956856,0.07156158127065256
S23,40,5662,P048,458,P049,0.2131777108433735,0.0492579049257905,4.09914910054261,-0.006544425469391299
S23,41,5871,P048,529,P049,0.22104668674698796,0.05689395568939557,4.2640395592160365,0.04947099350579166
S23,42,5878,P048,537,P049,0.22131024096385543,0.057754355775435584,4.269562206157252,0.05578259001003763
S23,43,5587,P048,523,P049,0.21035391566265063,0.056248655624865564,4.039977883315305,0.044737296127607185
S23,44,5253,P048,644,P049,0.19777861445783135,0.06926220692622069,3.7764687292630352,0.14020019325432745
S23,45,4844,P048,577,P049,0.18237951807228917,0.06205635620563563,3.45378835798346,0.08734057253126747
S23,46,4424,P048,523,P049,0.16656626506024097,0.056248655624865564,3.122429541510547,0.044737296127607185
S23,47,3916,P048,471,P049,0.1474397590361446,0.05065605506560551,2.721643163490928,0.003711918850008398
S23,48,3369,P048,460,P049,0.1268448795180723,0.049473004947300496,2.29008775251311,-0.004966526343329807
S23,49,2629,P048,403,P049,0.09898343373493977,0.043342654334265436,1.706265075870358,-0.04993665143608232
S23,50,1839,P048,531,P049,0.0692394578313253,0.057109055710905576,1.0829949210760688,0.05104889263185315
S23,51,1982,P048,694,P049,0.07462349397590362,0.07463970746397075,1.1958147085894655,0.17964767140586474
S23,52,2327,P048,925,P049,0.08761295180722892,0.09948375994837601,1.4680023078350728,0.36189502046596705
S23,53,2727,P048,981,P049,0.10267319277108435,0.10550656055065606,1.7835821330473711,0.40607619599568884
S23,54,3570,P048,1075,P049,0.13441265060240964,0.11561626156162616,2.4486666146822897,0.48023745492057895
S23,55,4225,P048,1223,P049,0.1590737951807229,0.13153366315336631,2.9654285784674284,0.5970019902491294
S23,56,4349,P048,1364,P049,0.1637424698795181,0.14669821466982147,3.063258324283241,0.7082438786364645
S23,57,4385,P048,1363,P049,0.1650978915662651,0.14659066465906648,3.091660508552348,0.7074549290734338
S23,58,4213,P048,1393,P049,0.15862198795180724,0.14981716498171652,2.9559611837110595,0.7311234159643561
S23,59,3710,P048,1238,P049,0.13968373493975905,0.13314691331469133,2.5591195535065943,0.6088362336945905
S23,60,3001,P048,1107,P049,0.11298945783132532,0.1190578619057862,1.9997543133177955,0.5054838409375628
S23,61,3072,P048,967,P049,0.11566265060240966,0.10400086040008605,2.0557697322929784,0.39503090211325836
S23,62,2986,P048,664,P049,0.11242469879518073,0.07141320714132073,1.9879200698723343,0.15597918451494236
S23,63,2596,P048,374,P049,0.09774096385542169,0.0402237040223704,1.6802297402903434,-0.07281618876397396
S23,64,2484,P048,311,P049,0.09352409638554218,0.033448053344805335,1.5918673892308999,-0.12252001123491095
S23,65,2744,P048,313,P049,0.1033132530120482,0.03366315336631534,1.796994275618894,-0.12094211210884946
S23,66,3365,P048,346,P049,0.12669427710843376,0.037212303721230376,2.286931954260987,-0.09490677652883485
S23,67,3805,P048,304,P049,0.1432605421686747,0.03269520326952033,2.6340697619945153,-0.12804265817612617
S23,68,3606,P048,807,P049,0.13576807228915663,0.08679285867928588,2.4770687989513966,0.268798972028339
S23,69,2976,P048,1566,P049,0.11204819277108435,0.1684233168423317,1.9800305742420268,0.8676116903686751
S23,70,2991,P048,1912,P049,0.11261295180722893,0.20563562056356208,1.991864817687488,1.1405882391773132
S23,71,2730,P048,2396,P049,0.10278614457831327,0.2576898257689826,1.7859489817364633,1.5224398276841942
S23,72,2380,P048,2215,P049,0.08960843373493976,0.23822327382232739,1.5098166346757023,1.3796399567756292
S23,73,1673,P048,1385,P049,0.06298945783132531,0.1489567648956765,0.952029293612965,0.7248118194601102
S23,74,1446,P048,1780,P049,0.05444277108433736,0.19143901914390193,0.7729377428049857,1.0364468968572547
S23,75,1204,P048,1955,P049,0.045331325301204824,0.21026027102602712,0.5820119485515451,1.1745130703876352
S23,76,813,P048,1559,P049,0.030609939759036146,0.1676704667670467,0.2735326694065235,0.8620890434274598
S23,77,678,P048,1588,P049,0.025527108433734944,0.1707894170789417,0.1670244783973728,0.8849685807553516
S23,78,551,P048,1428,P049,0.020745481927710845,0.15358141535814154,0.06682788389246808,0.7587366506704323
S23,79,315,P048,1159,P049,0.011859939759036146,0.12465046246504626,-0.11936421298278797,0.5465092182151616
S23,80,112,P048,755,P049,0.004216867469879518,0.08120025812002582,-0.2795209742780294,0.22777359475074024
S23,81,32,P048,566,P049,0.0012048192771084338,0.06087330608733061,-0.34263693932048905,0.07866212733792927
S23,82,221,P048,552,P049,0.00832078313253012,0.0593676059367606,-0.19352547190767808,0.06761683345549882
S23,83,322,P048,564,P049,0.012123493975903616,0.06065820606582061,-0.11384156604157275,0.07708422821186776
S23,84,215,P048,606,P049,0.00809487951807229,0.06517530651753066,-0.19825916928586257,0.1102201098591591
S23,85,125,P048,597,P049,0.00470632530120482,0.06420735642073565,-0.2692646299586297,0.10311956379188239
