Session,Frame,LeftPlayerMotion,RightPlayerMotion,LeftID,RightID,MinMaxLeftME,MinMaxRightME
S11,1,8588,650,P024,P025,0.37515289183994405,0.042768785366495594
S11,2,6067,304,P024,P025,0.2650270836973615,0.020002631925253325
S11,3,8777,467,P024,P025,0.38340905119692464,0.03072772733254376
S11,4,9771,16,P024,P025,0.4268303337410449,0.0010527701013291224
S11,5,9177,25,P024,P025,0.40088240433339156,0.0016449532833267538
S11,6,14962,566,P024,P025,0.6535907740695439,0.037241742334517706
S11,7,11317,255,P024,P025,0.49436484361348937,0.016778523489932886
S11,8,14175,283,P024,P025,0.6192119517735453,0.018620871167258853
S11,9,15048,0,P024,P025,0.6573475449938843,0.0
S11,10,13997,52,P024,P025,0.6114363096278176,0.0034215028293196476
S11,11,21816,144,P024,P025,0.9529966800629041,0.0094749309119621
S11,12,16633,46,P024,P025,0.7265857067971343,0.0030267140413212266
S11,13,19779,20,P024,P025,0.8640136292154463,0.0013159626266614028
S11,14,19956,88,P024,P025,0.871745587978333,0.005790235557310173
S11,15,17086,36,P024,P025,0.7463742792241831,0.002368732727990525
S11,16,22892,70,P024,P025,0.9999999999999999,0.00460586919331491
S11,17,15523,18,P024,P025,0.6780971518434387,0.0011843663639952626
S11,18,15712,18,P024,P025,0.6863533112004193,0.0011843663639952626
S11,19,11917,100,P024,P025,0.5205748733181897,0.006579813133307015
S11,20,5672,0,P024,P025,0.24777214747510046,0.0
S11,21,13399,4,P024,P025,0.5853136466887996,0.0002631925253322806
S11,22,14337,0,P024,P025,0.6262886597938144,0.0
S11,23,18381,0,P024,P025,0.8029442600034946,0.0
S11,24,18724,21,P024,P025,0.817927660318015,0.001381760757994473
S11,25,15240,3,P024,P025,0.6657347544993883,0.00019739439399921044
S11,26,21651,24,P024,P025,0.9457889218941115,0.0015791551519936835
S11,27,15256,0,P024,P025,0.6664336886248471,0.0
S11,28,17349,0,P024,P025,0.75786300891141,0.0
S11,29,17435,2,P024,P025,0.7616197798357505,0.0001315962626661403
S11,30,14472,19,P024,P025,0.632185916477372,0.0012501644953283328
S11,31,20968,17,P024,P025,0.9159531714135942,0.0011185682326621926
S11,32,15870,0,P024,P025,0.6932552856893237,0.0
S11,33,17119,0,P024,P025,0.7478158308579416,0.0
S11,34,14906,11,P024,P025,0.6511445046304385,0.0007237794446637716
S11,35,10833,0,P024,P025,0.4732220863183645,0.0
S11,36,13740,0,P024,P025,0.6002096802376375,0.0
