Session,Frame,LeftPlayerME,LeftID,RightPlayerME,RightID,MinMaxLeftME,MinMaxRightME,ZscoreLeftME,ZscoreRightME
S22,1,205036.0,P046,723277.0,P047,0.06389309375013252,0.33159798514480876,-0.5550807988210056,2.1294031906928947
S22,2,188673.0,P046,217841.0,P047,0.05398133223330529,0.09043564062594682,-0.6398410001953004,-0.48875100730368937
S22,3,178215.0,P046,457917.0,P047,0.04764647909250109,0.204984843735164,-0.6940133515961668,0.7548406387963668
S22,4,165675.0,P046,196965.0,P047,0.04005047044976973,0.0804749233359719,-0.7589704453585366,-0.596888510444298
S22,5,295235.0,P046,317960.0,P047,0.1185304449116737,0.13820614524153405,-0.08785074297794358,0.029864564498121388
S22,6,137740.0,P046,281163.0,P047,0.023129058852106192,0.12064892574933214,-0.9036735086960009,-0.16074358376136214
S22,7,286042.0,P046,269399.0,P047,0.11296185580061871,0.1150358831070987,-0.13547040509576383,-0.22168100409792663
S22,8,252035.0,P046,224403.0,P047,0.09236237686015894,0.09356661527898454,-0.31162637699184925,-0.4547599028962993
S22,9,270171.0,P046,244285.0,P047,0.10334811950326708,0.10305305813965139,-0.21768205063823368,-0.3517713113346217
S22,10,241920.0,P046,188406.0,P047,0.08623529333374524,0.07639110558904265,-0.36402199129857743,-0.6412240579333031
S22,11,269016.0,P046,236175.0,P047,0.10264848712827868,0.09918347501924056,-0.2236649408531888,-0.39378104262751
S22,12,273093.0,P046,197620.0,P047,0.10511809855064039,0.08078744823657229,-0.20254611539312645,-0.5934956159933927
S22,13,314692.0,P046,245563.0,P047,0.13031637315422745,0.10366283954876176,0.012936352184291669,-0.3451512821617103
S22,14,335363.0,P046,200904.0,P047,0.14283767256841406,0.08235436697484962,0.12001195706163992,-0.5764845238151134
S22,15,606288.0,P046,556399.0,P047,0.306948409532688,0.25197427466787664,1.5234011618120427,1.2649765644666784
S22,16,312739.0,P046,244072.0,P047,0.12913335841106524,0.10295142790479966,0.0028198287299130162,-0.35287464953010694
S22,17,345120.0,P046,109934.0,P047,0.14874790034569715,0.03894919108535842,0.1705531344013084,-1.0477083531263403
S22,18,382870.0,P046,490556.0,P047,0.1716146727749722,0.22055812653011952,0.3660978145870709,0.9239103822820118
S22,19,354192.0,P046,167979.0,P047,0.15424319463651526,0.06664462292558615,0.2175460175442286,-0.747035744877795
S22,20,372406.0,P046,197668.0,P047,0.16527618518027196,0.08081035082470789,0.31189438323703594,-0.593246976400044
S22,21,232983.0,P046,189681.0,P047,0.08082177425558815,0.07699945558639452,-0.41031557558520415,-0.634619568734976
S22,22,354189.0,P046,281529.0,P047,0.15424137740956723,0.1208235579838661,0.21753047756964428,-0.15884770686207764
S22,23,303362.0,P046,260761.0,P047,0.12345331271386492,0.11091437151719627,-0.04575295182907758,-0.26642577091765157
S22,24,312453.0,P046,316814.0,P047,0.12896011610868716,0.13765934594979656,0.001338351152876511,0.023928294206919165
S22,25,304663.0,P046,290548.0,P047,0.1242413834669904,0.12512685886709485,-0.03901378285101991,-0.11212936327014673
S22,26,325520.0,P046,370497.0,P047,0.13687535095195436,0.1632735050932016,0.06902530045055488,0.3020057794098937
S22,27,311267.0,P046,434059.0,P047,0.12824170572190252,0.19360130315726493,-0.004805118799449696,0.6312564009189648
S22,28,312179.0,P046,569577.0,P047,0.12879414271410114,0.25826198938560463,-8.096652582279822e-05,1.3332384928239758
S22,29,298636.0,P046,593173.0,P047,0.12059057452841448,0.2695205200032636,-0.07023359179087661,1.4554655729210155
S22,30,565164.0,P046,865564.0,P047,0.2820378625292044,0.399488413437521,1.310379190210472,2.8664486452516122
S22,31,223542.0,P046,651561.0,P047,0.07510296105016334,0.2973796099212103,-0.4592198756019931,1.757914918263699
S22,32,219430.0,P046,530471.0,P047,0.0726121486467414,0.2396030599766298,-0.48052000076553897,1.13066974412611
S22,33,225772.0,P046,857302.0,P047,0.0764537664148596,0.3955463054546808,-0.4476684944943309,2.8236515552464527
S22,34,227961.0,P046,607913.0,P047,0.07777973634459956,0.2765535231099042,-0.4363294930393207,1.5318186480452047
S22,35,296226.0,P046,507025.0,P047,0.11913073554683692,0.22841609994689463,-0.08271737137359682,1.0092196627582852
S22,36,157454.0,P046,428515.0,P047,0.035070662869873835,0.19095605422760306,-0.8015551557110441,0.6025385278871803
S22,37,307576.0,P046,400132.0,P047,0.1260059108335196,0.17741346758067078,-0.023924467529665573,0.45551482834512735
S22,38,281356.0,P046,301103.0,P047,0.11012334730780857,0.13016304257066283,-0.15974384539643888,-0.057454552691054726
S22,39,295104.0,P046,317046.0,P047,0.11845109266827675,0.13777004179245197,-0.08852932186812464,0.02513005224143829
S22,40,275444.0,P046,310820.0,P047,0.1065421987355735,0.13479938525636345,-0.19036795531056414,-0.007120575012510248
S22,41,273694.0,P046,369559.0,P047,0.10548214968256076,0.16282595035005176,-0.19943294048473856,0.2971469473565362
S22,42,266128.0,P046,446698.0,P047,0.10089910331964963,0.19963184089572023,-0.23862475638634065,0.6967263138426165
S22,43,280149.0,P046,558645.0,P047,0.1093922163323878,0.25304592493772166,-0.1659960951708552,1.2766108254387902
S22,44,289648.0,P046,611370.0,P047,0.115146162592141,0.2782029865929203,-0.11679135564543644,1.5497258787578452
S22,45,556683.0,P046,920914.0,P047,0.2769005619471466,0.42589796038138533,1.2664476820606587,3.153161176331929
S22,46,248067.0,P046,732714.0,P047,0.08995879135024204,0.33610072939971836,-0.3321805833753488,2.1782867707435716
S22,47,275307.0,P046,535113.0,P047,0.10645921203828052,0.24181793110424352,-0.19107761414991378,1.1547152647995487
S22,48,268552.0,P046,744070.0,P047,0.10236742269365129,0.3415191000427992,-0.22606845692222705,2.2371107545366713
S22,49,267493.0,P046,497712.0,P047,0.10172594158099957,0.2239725207113353,-0.2315540679504846,0.960978401657093
S22,50,400959.0,P046,427873.0,P047,0.182571945529228,0.1906497321112894,0.4597986813388658,0.5992129733261403
S22,51,239128.0,P046,367582.0,P047,0.08454406078745291,0.1618826500012167,-0.3784845276450317,0.2869061041054832
S22,52,277395.0,P046,368323.0,P047,0.10772400199410373,0.16223620870556005,-0.18026179183924168,0.290744477827805
S22,53,290612.0,P046,322474.0,P047,0.115730098184772,0.14035994280078615,-0.11179784381234835,0.05324704625596329
S22,54,317402.0,P046,365964.0,P047,0.13195793483060722,0.16111064192614583,0.026974129225441772,0.2785248778130179
S22,55,305782.0,P046,279865.0,P047,0.12491920911860255,0.12002960159516526,-0.03321737233107638,-0.1674672127648355
S22,56,328374.0,P046,276773.0,P047,0.13860413952183914,0.11855429320943034,0.08380899627175134,-0.18348374656971966
S22,57,307129.0,P046,256380.0,P047,0.12573514401826436,0.10882403321256989,-0.026239923742726125,-0.2891193138022562
S22,58,311805.0,P046,300339.0,P047,0.12856759508791443,0.12979850970950452,-0.002018283357332074,-0.061412066218522875
S22,59,306650.0,P046,239121.0,P047,0.12544499344889687,0.10058912136606304,-0.028721139684685867,-0.3785207875857284
S22,60,556545.0,P046,547561.0,P047,0.27681696950753754,0.24775733562740923,1.265732843229781,1.2191957993413334
S22,61,228472.0,P046,242113.0,P047,0.07808927066807927,0.10201671602651548,-0.43368251736846175,-0.3630222529336542
S22,62,219204.0,P046,77593.0,P047,0.07247525088332374,0.023518095191744765,-0.4816906788508895,-1.2152344591366118
S22,63,245074.0,P046,502862.0,P047,0.08814580459843224,0.22642977756338412,-0.34768429801895107,0.9876553580268064
S22,64,233051.0,P046,238864.0,P047,0.08086296473307664,0.10046649709208702,-0.4099633361612934,-0.37985204540845
S22,65,276143.0,P046,254407.0,P047,0.10696561261446261,0.10788264141274616,-0.18674714123242248,-0.29933943708719685
S22,66,154737.0,P046,233824.0,P047,0.03342486099728204,0.09806172533784896,-0.8156291926928908,-0.40595920271007235
S22,67,298206.0,P046,303710.0,P047,0.12033010533253136,0.13140693938877765,-0.07246098814795947,-0.043950314777298896
S22,68,248422.0,P046,222009.0,P047,0.09017382987242462,0.09242434869572147,-0.33034168638287337,-0.46716080261456994
S22,69,269756.0,P046,251597.0,P047,0.10309673644212405,0.10654188573230787,-0.21983174712239503,-0.31389521328115694
S22,70,254670.0,P046,258162.0,P047,0.09395850786283816,0.10967429179710407,-0.29797709931530664,-0.2798885688991826
S22,71,291030.0,P046,333250.0,P047,0.11598329847286307,0.14550157383722845,-0.1096326073536027,0.10906663496276532
S22,72,292994.0,P046,269351.0,P047,0.11717297638150137,0.11501298051896311,-0.09945910399241495,-0.2219296436912754
S22,73,341959.0,P046,263801.0,P047,0.14683314888479812,0.1123648687657843,0.15417918118098534,-0.2506785966722286
S22,74,360109.0,P046,200405.0,P047,0.15782737192033036,0.08211627548568994,0.24819602741599434,-0.5790693395876352
