Session,ID,Gesture,Frame,Is_Gesture,PlayerSide
S05,P012,Agestural,1,0,Right
S05,P012,Agestural,2,0,Right
S05,P012,Agestural,3,0,Right
S05,P012,Agestural,4,0,Right
S05,P012,Agestural,5,0,Right
S05,P012,Agestural,6,0,Right
S05,P012,Agestural,7,0,Right
S05,P012,Agestural,8,0,Right
S05,P012,Agestural,9,0,Right
S05,P012,Agestural,10,0,Right
S05,P012,Agestural,11,0,Right
S05,P012,Agestural,12,0,Right
S05,P012,Agestural,13,0,Right
S05,P012,Agestural,14,0,Right
S05,P012,Agestural,15,0,Right
S05,P012,Agestural,16,0,Right
S05,P012,Agestural,17,0,Right
S05,P012,Agestural,18,0,Right
S05,P012,Agestural,19,0,Right
S05,P012,Agestural,20,0,Right
S05,P012,Agestural,21,0,Right
S05,P012,Agestural,22,0,Right
S05,P012,Agestural,23,0,Right
S05,P012,Agestural,24,0,Right
S05,P012,Agestural,25,0,Right
S05,P012,Agestural,26,0,Right
S05,P012,Agestural,27,0,Right
S05,P012,Agestural,28,0,Right
S05,P012,Agestural,29,0,Right
S05,P012,Agestural,30,0,Right
S05,P012,Agestural,31,0,Right
S05,P012,Agestural,32,0,Right
S05,P012,Agestural,33,0,Right
S05,P012,Agestural,34,0,Right
S05,P012,Agestural,35,0,Right
S05,P012,Agestural,36,0,Right
S05,P012,Agestural,37,0,Right
S05,P012,Agestural,38,0,Right
S05,P012,Agestural,39,0,Right
S05,P012,Agestural,40,0,Right
S05,P012,Agestural,41,0,Right
S05,P012,Agestural,42,0,Right
S05,P012,Agestural,43,0,Right
S05,P012,Agestural,44,0,Right
S05,P012,Agestural,45,0,Right
S05,P012,Agestural,46,0,Right
S05,P012,Agestural,47,0,Right
S05,P012,Agestural,48,0,Right
S05,P012,Agestural,49,0,Right
S05,P012,Agestural,50,0,Right
S05,P012,Agestural,51,0,Right
S05,P012,Agestural,52,0,Right
S05,P012,Agestural,53,0,Right
S05,P012,Agestural,54,0,Right
S05,P012,Agestural,55,0,Right
S05,P012,Agestural,56,0,Right
S05,P012,Agestural,57,0,Right
S05,P012,Agestural,58,0,Right
S05,P012,Agestural,59,0,Right
S05,P012,Agestural,60,0,Right
S05,P012,Agestural,61,0,Right
S05,P012,Agestural,62,0,Right
S05,P012,Agestural,63,0,Right
S05,P012,Agestural,64,0,Right
S05,P012,Agestural,65,0,Right
S05,P012,Agestural,66,0,Right
S05,P012,Agestural,67,0,Right
S05,P012,Agestural,68,0,Right
S05,P012,Agestural,69,0,Right
S05,P012,Agestural,70,0,Right
S05,P012,Agestural,71,0,Right
S05,P012,Agestural,72,0,Right
S05,P012,Agestural,73,0,Right
S05,P012,Agestural,74,0,Right
S05,P012,Agestural,75,0,Right
S05,P012,Agestural,76,0,Right
S05,P012,Agestural,77,0,Right
S05,P012,Agestural,78,0,Right
