Session,ID,Gesture,Frame,Is_Gesture,PlayerSide
S21,P045,Agestural,177,0,Right
S21,P045,Agestural,178,0,Right
S21,P045,Agestural,179,0,Right
S21,P045,Agestural,180,0,Right
S21,P045,Agestural,181,0,Right
S21,P045,Agestural,182,0,Right
S21,P045,Agestural,183,0,Right
S21,P045,Agestural,184,0,Right
S21,P045,Agestural,185,0,Right
S21,P045,Agestural,186,0,Right
S21,P045,Agestural,187,0,Right
S21,P045,Agestural,188,0,Right
S21,P045,Agestural,189,0,Right
S21,P045,Agestural,190,0,Right
S21,P045,Agestural,191,0,Right
S21,P045,Agestural,192,0,Right
S21,P045,Agestural,193,0,Right
S21,P045,Agestural,194,0,Right
S21,P045,Agestural,195,0,Right
S21,P045,Agestural,196,0,Right
S21,P045,Agestural,197,0,Right
S21,P045,Agestural,198,0,Right
S21,P045,Agestural,199,0,Right
S21,P045,Agestural,200,0,Right
S21,P045,Agestural,201,0,Right
S21,P045,Agestural,202,0,Right
S21,P045,Agestural,203,0,Right
S21,P045,Agestural,204,0,Right
S21,P045,Agestural,205,0,Right
S21,P045,Agestural,206,0,Right
S21,P045,Agestural,207,0,Right
S21,P045,Agestural,208,0,Right
S21,P045,Agestural,209,0,Right
S21,P045,Agestural,210,0,Right
S21,P045,Agestural,211,0,Right
S21,P045,Agestural,212,0,Right
S21,P045,Agestural,213,0,Right
S21,P045,Agestural,214,0,Right
S21,P045,Agestural,215,0,Right
S21,P045,Agestural,216,0,Right
S21,P045,Agestural,217,0,Right
S21,P045,Agestural,218,0,Right
S21,P045,Agestural,219,0,Right
S21,P045,Agestural,220,0,Right
S21,P045,Agestural,221,0,Right
S21,P045,Agestural,222,0,Right
S21,P045,Agestural,223,0,Right
S21,P045,Agestural,224,0,Right
S21,P045,Agestural,225,0,Right
S21,P045,Agestural,226,0,Right
S21,P045,Agestural,227,0,Right
S21,P045,Agestural,228,0,Right
S21,P045,Agestural,229,0,Right
S21,P045,Agestural,230,0,Right
S21,P045,Agestural,231,0,Right
S21,P045,Agestural,232,0,Right
S21,P045,Agestural,233,0,Right
S21,P045,Agestural,234,0,Right
S21,P045,Agestural,235,0,Right
S21,P045,Agestural,236,0,Right
S21,P045,Agestural,237,0,Right
S21,P045,Agestural,238,0,Right
S21,P045,Agestural,239,0,Right
S21,P045,Agestural,240,0,Right
S21,P045,Agestural,241,0,Right
S21,P045,Agestural,242,0,Right
S21,P045,Agestural,243,0,Right
S21,P045,Agestural,244,0,Right
S21,P045,Agestural,245,0,Right
S21,P045,Agestural,246,0,Right
S21,P045,Agestural,247,0,Right
S21,P045,Agestural,248,0,Right
S21,P045,Agestural,249,0,Right
S21,P045,Agestural,250,0,Right
S21,P045,Agestural,251,0,Right
S21,P045,Agestural,252,0,Right
S21,P045,Agestural,253,0,Right
S21,P045,Agestural,254,0,Right
S21,P045,Agestural,255,0,Right
S21,P045,Agestural,256,0,Right
S21,P045,Agestural,257,0,Right
S21,P045,Agestural,258,0,Right
S21,P045,Agestural,259,0,Right
S21,P045,Agestural,260,0,Right
S21,P045,Agestural,261,0,Right
S21,P045,Agestural,262,0,Right
S21,P045,Agestural,263,0,Right
S21,P045,Agestural,264,0,Right
S21,P045,Agestural,265,0,Right
S21,P045,Agestural,266,0,Right
S21,P045,Agestural,267,0,Right
S21,P045,Agestural,268,0,Right
S21,P045,Agestural,269,0,Right
S21,P045,Agestural,270,0,Right
S21,P045,Agestural,271,0,Right
S21,P045,Agestural,272,0,Right
S21,P045,Agestural,273,0,Right
S21,P045,Agestural,274,0,Right
S21,P045,Agestural,275,0,Right
S21,P045,Agestural,276,0,Right
S21,P045,Agestural,277,0,Right
S21,P045,Agestural,278,0,Right
S21,P045,Agestural,279,0,Right
S21,P045,Agestural,280,0,Right
S21,P045,Agestural,281,0,Right
S21,P045,Agestural,282,0,Right
S21,P045,Agestural,283,0,Right
S21,P045,Agestural,284,0,Right
S21,P045,Agestural,285,0,Right
S21,P045,Agestural,286,0,Right
S21,P045,Agestural,287,0,Right
S21,P045,Agestural,288,0,Right
S21,P045,Agestural,289,0,Right
S21,P045,Agestural,290,0,Right
S21,P045,Agestural,291,0,Right
S21,P045,Agestural,292,0,Right
S21,P045,Agestural,293,0,Right
S21,P045,Agestural,294,0,Right
S21,P045,Agestural,295,0,Right
S21,P045,Agestural,296,0,Right
S21,P045,Agestural,297,0,Right
S21,P045,Agestural,298,0,Right
S21,P045,Agestural,299,0,Right
S21,P045,Agestural,300,0,Right
S21,P045,Agestural,301,0,Right
S21,P045,Agestural,302,0,Right
S21,P045,Agestural,303,0,Right
S21,P045,Agestural,304,0,Right
S21,P045,Agestural,305,0,Right
S21,P045,Agestural,306,0,Right
S21,P045,Agestural,307,0,Right
S21,P045,Agestural,308,0,Right
S21,P045,Agestural,309,0,Right
S21,P045,Agestural,310,0,Right
S21,P045,Agestural,311,0,Right
S21,P045,Agestural,312,0,Right
S21,P045,Agestural,313,0,Right
S21,P045,Agestural,314,0,Right
S21,P045,Agestural,315,0,Right
S21,P045,Agestural,316,0,Right
S21,P045,Agestural,317,0,Right
S21,P045,Agestural,318,0,Right
S21,P045,Agestural,319,0,Right
S21,P045,Agestural,320,0,Right
S21,P045,Agestural,321,0,Right
S21,P045,Agestural,322,0,Right
S21,P045,Agestural,323,0,Right
S21,P045,Agestural,324,0,Right
S21,P045,Agestural,325,0,Right
S21,P045,Agestural,326,0,Right
S21,P045,Agestural,327,0,Right
S21,P045,Agestural,328,0,Right
S21,P045,Agestural,329,0,Right
S21,P045,Agestural,330,0,Right
S21,P045,Agestural,331,0,Right
S21,P045,Agestural,332,0,Right
S21,P045,Agestural,333,0,Right
S21,P045,Agestural,334,0,Right
S21,P045,Agestural,335,0,Right
S21,P045,Agestural,336,0,Right
S21,P045,Agestural,337,0,Right
S21,P045,Agestural,338,0,Right
S21,P045,Agestural,339,0,Right
S21,P045,Agestural,340,0,Right
S21,P045,Agestural,341,0,Right
S21,P045,Agestural,342,0,Right
S21,P045,Agestural,343,0,Right
S21,P045,Agestural,344,0,Right
S21,P045,Agestural,345,0,Right
S21,P045,Agestural,346,0,Right
S21,P045,Agestural,347,0,Right
S21,P045,Agestural,348,0,Right
S21,P045,Agestural,349,0,Right
S21,P045,Agestural,350,0,Right
S21,P045,Agestural,351,0,Right
S21,P045,Agestural,352,0,Right
S21,P045,Agestural,353,0,Right
S21,P045,Agestural,354,0,Right
S21,P045,Agestural,355,0,Right
S21,P045,Agestural,356,0,Right
S21,P045,Agestural,357,0,Right
S21,P045,Agestural,358,0,Right
S21,P045,Agestural,359,0,Right
S21,P045,Agestural,360,0,Right
S21,P045,Agestural,361,0,Right
S21,P045,Agestural,362,0,Right
S21,P045,Agestural,363,0,Right
S21,P045,Agestural,364,0,Right
S21,P045,Agestural,365,0,Right
S21,P045,Agestural,366,0,Right
S21,P045,Agestural,367,0,Right
S21,P045,Agestural,368,0,Right
S21,P045,Agestural,369,0,Right
S21,P045,Agestural,370,0,Right
S21,P045,Agestural,371,0,Right
S21,P045,Agestural,372,0,Right
S21,P045,Agestural,373,0,Right
S21,P045,Agestural,374,0,Right
S21,P045,Agestural,375,0,Right
S21,P045,Agestural,376,0,Right
S21,P045,Agestural,377,0,Right
S21,P045,Agestural,378,0,Right
S21,P045,Agestural,379,0,Right
S21,P045,Agestural,380,0,Right
S21,P045,Agestural,381,0,Right
S21,P045,Agestural,382,0,Right
S21,P045,Agestural,383,0,Right
S21,P045,Agestural,384,0,Right
S21,P045,Agestural,385,0,Right
S21,P045,Agestural,386,0,Right
S21,P045,Agestural,387,0,Right
S21,P045,Agestural,388,0,Right
S21,P045,Agestural,389,0,Right
S21,P045,Agestural,390,0,Right
S21,P045,Agestural,391,0,Right
S21,P045,Agestural,392,0,Right
S21,P045,Agestural,393,0,Right
S21,P045,Agestural,394,0,Right
S21,P045,Agestural,395,0,Right
S21,P045,Agestural,396,0,Right
S21,P045,Agestural,397,0,Right
S21,P045,Agestural,398,0,Right
S21,P045,Agestural,399,0,Right
S21,P045,Agestural,400,0,Right
S21,P045,Agestural,401,0,Right
S21,P045,Agestural,402,0,Right
S21,P045,Agestural,403,0,Right
S21,P045,Agestural,404,0,Right
S21,P045,Agestural,405,0,Right
S21,P045,Agestural,406,0,Right
S21,P045,Agestural,407,0,Right
S21,P045,Agestural,408,0,Right
S21,P045,Agestural,409,0,Right
S21,P045,Agestural,410,0,Right
S21,P045,Agestural,411,0,Right
S21,P045,Agestural,412,0,Right
S21,P045,Agestural,413,0,Right
S21,P045,Agestural,414,0,Right
S21,P045,Agestural,415,0,Right
S21,P045,Agestural,416,0,Right
S21,P045,Agestural,417,0,Right
S21,P045,Agestural,418,0,Right
S21,P045,Agestural,419,0,Right
S21,P045,Agestural,420,0,Right
S21,P045,Agestural,421,0,Right
S21,P045,Agestural,422,0,Right
S21,P045,Agestural,423,0,Right
S21,P045,Agestural,424,0,Right
S21,P045,Agestural,425,0,Right
S21,P045,Agestural,426,0,Right
S21,P045,Agestural,427,0,Right
S21,P045,Agestural,428,0,Right
S21,P045,Agestural,429,0,Right
S21,P045,Agestural,430,0,Right
S21,P045,Agestural,431,0,Right
S21,P045,Agestural,432,0,Right
S21,P045,Agestural,433,0,Right
S21,P045,Agestural,434,0,Right
S21,P045,Agestural,435,0,Right
S21,P045,Agestural,436,0,Right
S21,P045,Agestural,437,0,Right
S21,P045,Agestural,438,0,Right
S21,P045,Agestural,439,0,Right
S21,P045,Agestural,440,0,Right
S21,P045,Agestural,441,0,Right
S21,P045,Agestural,442,0,Right
S21,P045,Agestural,443,0,Right
S21,P045,Agestural,444,0,Right
S21,P045,Agestural,445,0,Right
S21,P045,Agestural,446,0,Right
S21,P045,Agestural,447,0,Right
S21,P045,Agestural,448,0,Right
S21,P045,Agestural,449,0,Right
S21,P045,Agestural,450,0,Right
S21,P045,Agestural,451,0,Right
S21,P045,Agestural,452,0,Right
S21,P045,Agestural,453,0,Right
S21,P045,Agestural,454,0,Right
S21,P045,Agestural,455,0,Right
S21,P045,Agestural,456,0,Right
S21,P045,Agestural,457,0,Right
S21,P045,Agestural,458,0,Right
S21,P045,Agestural,459,0,Right
S21,P045,Agestural,460,0,Right
S21,P045,Agestural,461,0,Right
S21,P045,Agestural,462,0,Right
S21,P045,Agestural,463,0,Right
S21,P045,Agestural,464,0,Right
S21,P045,Agestural,465,0,Right
S21,P045,Agestural,466,0,Right
S21,P045,Agestural,467,0,Right
S21,P045,Agestural,468,0,Right
S21,P045,Agestural,469,0,Right
S21,P045,Agestural,470,0,Right
S21,P045,Agestural,471,0,Right
S21,P045,Agestural,472,0,Right
S21,P045,Agestural,473,0,Right
S21,P045,Agestural,474,0,Right
S21,P045,Agestural,475,0,Right
S21,P045,Agestural,476,0,Right
S21,P045,Agestural,477,0,Right
S21,P045,Agestural,478,0,Right
S21,P045,Agestural,479,0,Right
S21,P045,Agestural,480,0,Right
S21,P045,Agestural,481,0,Right
S21,P045,Agestural,482,0,Right
S21,P045,Agestural,483,0,Right
S21,P045,Agestural,484,0,Right
S21,P045,Agestural,485,0,Right
S21,P045,Agestural,486,0,Right
S21,P045,Agestural,487,0,Right
S21,P045,Agestural,488,0,Right
S21,P045,Agestural,489,0,Right
S21,P045,Agestural,490,0,Right
S21,P045,Agestural,491,0,Right
S21,P045,Agestural,492,0,Right
S21,P045,Agestural,493,0,Right
S21,P045,Agestural,494,0,Right
S21,P045,Agestural,495,0,Right
S21,P045,Agestural,496,0,Right
S21,P045,Agestural,497,0,Right
S21,P045,Agestural,498,0,Right
S21,P045,Agestural,499,0,Right
S21,P045,Agestural,500,0,Right
S21,P045,Agestural,501,0,Right
S21,P045,Agestural,502,0,Right
S21,P045,Agestural,503,0,Right
S21,P045,Agestural,504,0,Right
S21,P045,Agestural,505,0,Right
S21,P045,Agestural,506,0,Right
S21,P045,Agestural,507,0,Right
S21,P045,Agestural,508,0,Right
S21,P045,Agestural,509,0,Right
S21,P045,Agestural,510,0,Right
S21,P045,Agestural,511,0,Right
S21,P045,Agestural,512,0,Right
S21,P045,Agestural,513,0,Right
S21,P045,Agestural,514,0,Right
S21,P045,Agestural,515,0,Right
S21,P045,Agestural,516,0,Right
S21,P045,Agestural,517,0,Right
S21,P045,Agestural,518,0,Right
S21,P045,Agestural,519,0,Right
S21,P045,Agestural,520,0,Right
S21,P045,Agestural,521,0,Right
S21,P045,Agestural,522,0,Right
S21,P045,Agestural,523,0,Right
S21,P045,Agestural,524,0,Right
S21,P045,Agestural,525,0,Right
S21,P045,Agestural,526,0,Right
S21,P045,Agestural,527,0,Right
S21,P045,Agestural,528,0,Right
S21,P045,Agestural,529,0,Right
S21,P045,Agestural,530,0,Right
S21,P045,Agestural,531,0,Right
S21,P045,Agestural,532,0,Right
S21,P045,Agestural,533,0,Right
S21,P045,Agestural,534,0,Right
S21,P045,Agestural,535,0,Right
S21,P045,Agestural,536,0,Right
S21,P045,Agestural,537,0,Right
S21,P045,Agestural,538,0,Right
S21,P045,Agestural,539,0,Right
S21,P045,Agestural,540,0,Right
S21,P045,Agestural,541,0,Right
S21,P045,Agestural,542,0,Right
S21,P045,Agestural,543,0,Right
S21,P045,Agestural,544,0,Right
S21,P045,Agestural,545,0,Right
S21,P045,Agestural,546,0,Right
S21,P045,Agestural,547,0,Right
S21,P045,Agestural,548,0,Right
S21,P045,Agestural,549,0,Right
S21,P045,Agestural,550,0,Right
S21,P045,Agestural,551,0,Right
S21,P045,Agestural,552,0,Right
S21,P045,Agestural,553,0,Right
S21,P045,Agestural,554,0,Right
S21,P045,Agestural,555,0,Right
S21,P045,Agestural,556,0,Right
S21,P045,Agestural,557,0,Right
S21,P045,Agestural,558,0,Right
S21,P045,Agestural,559,0,Right
S21,P045,Agestural,560,0,Right
S21,P045,Agestural,561,0,Right
S21,P045,Agestural,562,0,Right
S21,P045,Agestural,563,0,Right
S21,P045,Agestural,564,0,Right
S21,P045,Agestural,565,0,Right
S21,P045,Agestural,566,0,Right
S21,P045,Agestural,567,0,Right
S21,P045,Agestural,568,0,Right
S21,P045,Agestural,569,0,Right
S21,P045,Agestural,570,0,Right
S21,P045,Agestural,571,0,Right
S21,P045,Agestural,572,0,Right
S21,P045,Agestural,573,0,Right
S21,P045,Agestural,574,0,Right
S21,P045,Agestural,575,0,Right
S21,P045,Agestural,576,0,Right
S21,P045,Agestural,577,0,Right
S21,P045,Agestural,578,0,Right
S21,P045,Agestural,579,0,Right
S21,P045,Agestural,580,0,Right
S21,P045,Agestural,581,0,Right
S21,P045,Miscellaneous,582,5,Right
S21,P045,Miscellaneous,583,5,Right
S21,P045,Miscellaneous,584,5,Right
S21,P045,Miscellaneous,585,5,Right
S21,P045,Miscellaneous,586,5,Right
S21,P045,Miscellaneous,587,5,Right
S21,P045,Miscellaneous,588,5,Right
S21,P045,Miscellaneous,589,5,Right
S21,P045,Miscellaneous,590,5,Right
S21,P045,Miscellaneous,591,5,Right
S21,P045,Miscellaneous,592,5,Right
S21,P045,Miscellaneous,593,5,Right
S21,P045,Miscellaneous,594,5,Right
S21,P045,Miscellaneous,595,5,Right
S21,P045,Miscellaneous,596,5,Right
S21,P045,Miscellaneous,597,5,Right
S21,P045,Miscellaneous,598,5,Right
S21,P045,Miscellaneous,599,5,Right
S21,P045,Miscellaneous,600,5,Right
S21,P045,Miscellaneous,601,5,Right
S21,P045,Miscellaneous,602,5,Right
S21,P045,Miscellaneous,603,5,Right
S21,P045,Miscellaneous,604,5,Right
S21,P045,Miscellaneous,605,5,Right
S21,P045,Miscellaneous,606,5,Right
S21,P045,Miscellaneous,607,5,Right
S21,P045,Miscellaneous,608,5,Right
S21,P045,Miscellaneous,609,5,Right
S21,P045,Miscellaneous,610,5,Right
S21,P045,Miscellaneous,611,5,Right
S21,P045,Miscellaneous,612,5,Right
S21,P045,Miscellaneous,613,5,Right
S21,P045,Miscellaneous,614,5,Right
S21,P045,Miscellaneous,615,5,Right
S21,P045,Miscellaneous,616,5,Right
S21,P045,Miscellaneous,617,5,Right
S21,P045,Miscellaneous,618,5,Right
S21,P045,Miscellaneous,619,5,Right
S21,P045,Miscellaneous,620,5,Right
S21,P045,Miscellaneous,621,5,Right
S21,P045,Miscellaneous,622,5,Right
S21,P045,Miscellaneous,623,5,Right
S21,P045,Miscellaneous,624,5,Right
S21,P045,Miscellaneous,625,5,Right
S21,P045,Miscellaneous,626,5,Right
S21,P045,Miscellaneous,627,5,Right
S21,P045,Miscellaneous,628,5,Right
S21,P045,Miscellaneous,629,5,Right
S21,P045,Miscellaneous,630,5,Right
S21,P045,Miscellaneous,631,5,Right
S21,P045,Miscellaneous,632,5,Right
S21,P045,Miscellaneous,633,5,Right
S21,P045,Miscellaneous,634,5,Right
S21,P045,Miscellaneous,635,5,Right
S21,P045,Miscellaneous,636,5,Right
S21,P045,Miscellaneous,637,5,Right
S21,P045,Miscellaneous,638,5,Right
S21,P045,Miscellaneous,639,5,Right
S21,P045,Agestural,640,0,Right
S21,P045,Agestural,641,0,Right
S21,P045,Agestural,642,0,Right
S21,P045,Agestural,643,0,Right
S21,P045,Agestural,644,0,Right
S21,P045,Agestural,645,0,Right
S21,P045,Agestural,646,0,Right
S21,P045,Agestural,647,0,Right
S21,P045,Agestural,648,0,Right
S21,P045,Agestural,649,0,Right
S21,P045,Agestural,650,0,Right
S21,P045,Agestural,651,0,Right
S21,P045,Agestural,652,0,Right
S21,P045,Agestural,653,0,Right
S21,P045,Agestural,654,0,Right
S21,P045,Agestural,655,0,Right
S21,P045,Agestural,656,0,Right
S21,P045,Agestural,657,0,Right
S21,P045,Agestural,658,0,Right
S21,P045,Agestural,659,0,Right
S21,P045,Agestural,660,0,Right
S21,P045,Agestural,661,0,Right
S21,P045,Agestural,662,0,Right
S21,P045,Agestural,663,0,Right
S21,P045,Agestural,664,0,Right
S21,P045,Agestural,665,0,Right
S21,P045,Agestural,666,0,Right
S21,P045,Agestural,667,0,Right
S21,P045,Agestural,668,0,Right
S21,P045,Agestural,669,0,Right
S21,P045,Agestural,670,0,Right
S21,P045,Agestural,671,0,Right
S21,P045,Agestural,672,0,Right
S21,P045,Agestural,673,0,Right
S21,P045,Agestural,674,0,Right
S21,P045,Agestural,675,0,Right
S21,P045,Agestural,676,0,Right
S21,P045,Agestural,677,0,Right
S21,P045,Agestural,678,0,Right
S21,P045,Agestural,679,0,Right
S21,P045,Agestural,680,0,Right
S21,P045,Agestural,681,0,Right
S21,P045,Agestural,682,0,Right
S21,P045,Agestural,683,0,Right
S21,P045,Agestural,684,0,Right
S21,P045,Agestural,685,0,Right
S21,P045,Agestural,686,0,Right
S21,P045,Agestural,687,0,Right
S21,P045,Agestural,688,0,Right
S21,P045,Agestural,689,0,Right
