Session,Frame,LeftPlayerME,LeftID,RightPlayerME,RightID,MinMaxLeftME,MinMaxRightME,ZscoreLeftME,ZscoreRightME
S02,1,0,P006,1200,P007,0.0,0.1187932118164676,-0.3376897047774973,0.5032939324925135
S02,2,0,P006,0,P007,0.0,0.1668312831103529,-0.3376897047774973,-0.3376897047774973
S02,3,0,P006,0,P007,0.0,0.1961479752177426,-0.3376897047774973,-0.3376897047774973
S02,4,0,P006,0,P007,0.0,0.2031067612462961,-0.3376897047774973,-0.3376897047774973
S02,5,0,P006,0,P007,0.0,0.2306725329981144,-0.3376897047774973,-0.3376897047774973
S02,6,0,P006,4,P007,0.0,0.2435575109993714,-0.3376897047774973,-0.3348864259865973
S02,7,0,P006,0,P007,0.0,0.2301786836670557,-0.3376897047774973,-0.3376897047774973
S02,8,0,P006,0,P007,0.0,0.2324683487474185,-0.3376897047774973,-0.3376897047774973
S02,9,1,P006,0,P007,4.115395695296103e-05,0.2145101912543773,-0.3369888850797723,-0.3376897047774973
S02,10,2,P006,0,P007,8.230791390592206e-05,0.1799407380802729,-0.3362880653820473,-0.3376897047774973
S02,11,0,P006,0,P007,0.0,0.1456855526622968,-0.3376897047774973,-0.3376897047774973
S02,12,0,P006,0,P007,0.0,0.1251234623327646,-0.3376897047774973,-0.3376897047774973
S02,13,0,P006,0,P007,0.0,0.1021370207416719,-0.3376897047774973,-0.3376897047774973
S02,14,0,P006,0,P007,0.0,0.0664002873305198,-0.3376897047774973,-0.3376897047774973
S02,15,10,P006,0,P007,0.0004115395695296,0.0332225913621262,-0.3306815078002472,-0.3376897047774973
S02,16,1,P006,0,P007,4.115395695296103e-05,0.0120768609140702,-0.3369888850797723,-0.3376897047774973
S02,17,33,P006,0,P007,0.0013580805794477,0.0009876986621172,-0.314562654752572,-0.3376897047774973
S02,18,81,P006,0,P007,0.0033334705131898,8.979078746520607e-05,-0.2809233092617715,-0.3376897047774973
S02,19,128,P006,0,P007,0.005267706489979,0.0,-0.2479847834686961,-0.3376897047774973
S02,20,112,P006,0,P007,0.0046092431787316,0.0,-0.2591978986322963,-0.3376897047774973
S02,21,11,P006,0,P007,0.0004526935264825,0.0,-0.3299806881025222,-0.3376897047774973
S02,22,2,P006,3,P007,8.230791390592206e-05,0.0,-0.3362880653820473,-0.3355872456843223
S02,23,45,P006,0,P007,0.0018519280628832,0.0,-0.3061528183798719,-0.3376897047774973
S02,24,36,P006,0,P007,0.0014815424503065,0.0,-0.312460195659397,-0.3376897047774973
S02,25,40,P006,0,P007,0.0016461582781184,0.0,-0.3096569168684969,-0.3376897047774973
S02,26,1,P006,0,P007,4.115395695296103e-05,0.0,-0.3369888850797723,-0.3376897047774973
S02,27,29,P006,0,P007,0.0011934647516358,0.0,-0.317365933543472,-0.3376897047774973
S02,28,21,P006,0,P007,0.0008642330960121,0.0,-0.3229724911252721,-0.3376897047774973
S02,29,7,P006,0,P007,0.0002880776986707,8.979078746520607e-05,-0.3327839668934222,-0.3376897047774973
S02,30,25,P006,0,P007,0.001028848923824,0.0,-0.320169212334372,-0.3376897047774973
S02,31,53,P006,0,P007,0.0021811597185069,0.0005836401185238,-0.3005462607980718,-0.3376897047774973
S02,32,49,P006,0,P007,0.002016543890695,0.0,-0.3033495395889719,-0.3376897047774973
S02,33,171,P006,0,P007,0.0070373266389563,0.0,-0.2178495364665207,-0.3376897047774973
S02,34,240,P006,0,P007,0.0098769496687106,0.0,-0.1694929773234951,-0.3376897047774973
S02,35,160,P006,0,P007,0.0065846331124737,0.0,-0.2255585531414958,-0.3376897047774973
S02,36,76,P006,0,P007,0.003127700728425,0.0,-0.2844274077503966,-0.3376897047774973
S02,37,126,P006,0,P007,0.005185398576073,0.0007632216934542,-0.2493864228641461,-0.3376897047774973
S02,38,82,P006,0,P007,0.0033746244701428,0.0,-0.2802224895640465,-0.3376897047774973
