Session,Frame,RightPlayerME,RightID,LeftPlayerME,LeftID,MinMaxLeftME,MinMaxRightME,ZscoreLeftME,ZscoreRightME
S18,1,430872.0,P038,169837.0,P039,0.0774583338952524,0.2160577319630093,-0.30604949670418735,1.1248539581994992
S18,2,139855.0,P038,162496.0,P039,0.07404450119956156,0.06622020093532288,-0.34629031599067367,-0.4704004357925177
S18,3,132411.0,P038,94098.0,P039,0.04223693700941559,0.06238746751779023,-0.7212244608697219,-0.5112058654027349
S18,4,160537.0,P038,103123.0,P039,0.046433891113571664,0.07686885656958002,-0.6717525368729177,-0.35702887544881656
S18,5,281115.0,P038,151344.0,P039,0.06885841453257557,0.1389515177758201,-0.4074217172552011,0.3039379557630007
S18,6,243842.0,P038,155004.0,P039,0.07056044799752972,0.11976056228526472,-0.38735886497505667,0.09962028006960666
S18,7,267684.0,P038,187111.0,P039,0.085491373806077,0.13203622458252606,-0.21135941192625993,0.2303138658792249
S18,8,229333.0,P038,182657.0,P039,0.08342010138725028,0.11229023327465469,-0.2357746971873974,0.020086967574356653
S18,9,239213.0,P038,248899.0,P039,0.11422504695705714,0.1173772034741741,0.12734100246870236,0.07424570542348961
S18,10,220049.0,P038,168372.0,P039,0.0767770554728049,0.1075101288887905,-0.31408011926987356,-0.030804704712217273
S18,11,232444.0,P038,263730.0,P039,0.12112200278184815,0.11389201103687178,0.2086394074323148,0.03714039201247939
S18,12,203752.0,P038,290627.0,P039,0.13363008860339784,0.0991192024372148,0.3560794450768623,-0.12013921389514438
S18,13,226101.0,P038,190979.0,P039,0.08729013485592473,0.11062615557375927,-0.19015637569139696,0.0023702630471908906
S18,14,201925.0,P038,158104.0,P039,0.07200206104161658,0.09817852485072472,-0.37036573872684697,-0.1301541950743312
S18,15,455978.0,P038,491343.0,P039,0.226970347879829,0.22898419692547228,1.4563350347657866,1.2624763541954842
S18,16,261239.0,P038,157348.0,P039,0.07165049347344572,0.12871785181573428,-0.37450986886995874,0.194984608243834
S18,17,141331.0,P038,143708.0,P039,0.06530739607946358,0.06698015721209319,-0.4492796243620816,-0.46230951503691853
S18,18,108637.0,P038,98776.0,P039,0.04441237759658923,0.05014681675631508,-0.6955812851958105,-0.6415266987656182
S18,19,101532.0,P038,89276.0,P039,0.039994531171161786,0.046488626142186996,-0.7476569946661307,-0.6804738477957892
S18,20,131452.0,P038,113364.0,P039,0.05119632956018246,0.06189370188810005,-0.6156149220639126,-0.516462771232423
S18,21,117589.0,P038,89458.0,P039,0.040079167807943655,0.05475598246745858,-0.7466593337057519,-0.5924549354836913
S18,22,137270.0,P038,101684.0,P039,0.04576470363923587,0.0648892476999223,-0.6796406364442641,-0.4845705104220733
S18,23,125430.0,P038,93825.0,P039,0.04210998205424278,0.05879312146891928,-0.72272095231029,-0.5494732893829776
S18,24,170516.0,P038,206260.0,P039,0.09439635709034125,0.08200679944619989,-0.10639122659497986,-0.30232745389046656
S18,25,165388.0,P038,125370.0,P039,0.05677955736899109,0.07936651774750195,-0.5498021886006849,-0.3304373736971825
S18,26,213242.0,P038,231724.0,P039,0.10623804565635014,0.10400537118149002,0.033193601399991966,-0.06811832096110877
S18,27,220700.0,P038,273886.0,P039,0.125844913128863,0.1078453128563904,0.26431108168290124,-0.027236148200093232
S18,28,250854.0,P038,194435.0,P039,0.08889730088184865,0.12337086947544995,-0.17121178075145732,0.1380576353123314
S18,29,254959.0,P038,223419.0,P039,0.10237591780759489,0.1254844335107766,-0.012331531984324757,0.16055982345713815
S18,30,556636.0,P038,537526.0,P039,0.24844712698146226,0.2808105376484708,1.7094942442887124,1.814248645128483
S18,31,326075.0,P038,227428.0,P039,0.10424024899912528,0.16210032143679104,0.009644417412150347,0.5503931028983263
S18,32,239655.0,P038,225428.0,P039,0.10331017606745634,0.11760477845678419,-0.0013188898447591582,0.07666859632726661
S18,33,207915.0,P038,189296.0,P039,0.08650747848392532,0.10126262925306492,-0.1993819987480863,-0.09731908983988725
S18,34,187861.0,P038,170396.0,P039,0.07771828927965387,0.09093731544930356,-0.30298525232588114,-0.20724817170491885
S18,35,237617.0,P038,241348.0,P039,0.11071355660354107,0.11655546213425173,0.08594903592024052,0.06549698623247582
S18,36,286459.0,P038,281324.0,P039,0.12930385436173977,0.14170301258819173,0.3050836213713477,0.33323191275346287
S18,37,361687.0,P038,333607.0,P039,0.15361735590496328,0.1804360686782167,0.5916809180278476,0.745605751914857
S18,38,338565.0,P038,303894.0,P039,0.13979972739562374,0.16853111675986773,0.4288045437655715,0.6188589567177263
S18,39,326314.0,P038,329634.0,P039,0.15176976602620296,0.1622233766875689,0.5699023081619968,0.551703218115527
S18,40,283949.0,P038,208343.0,P039,0.09536502804867444,0.1404106750172612,-0.09497294208690861,0.31947296214604143
S18,41,320325.0,P038,276709.0,P039,0.1271577110719137,0.15913978716075494,0.27978578987602903,0.5188735945347115
S18,42,277526.0,P038,298745.0,P039,0.13740525463304204,0.13710362951204733,0.40057950923265795,0.28426430089047655
S18,43,294023.0,P038,277259.0,P039,0.12741348112812267,0.14559753106887643,0.2828006993716791,0.3746951407990946
S18,44,272264.0,P038,267023.0,P039,0.12265336786384104,0.13439435449282958,0.2266904928308163,0.25541983949754765
S18,45,562825.0,P038,526887.0,P039,0.24349960402144935,0.2839971022805382,1.6511749313355824,1.8481745994349894
S18,46,292323.0,P038,284080.0,P039,0.13058549486157958,0.1447222426742223,0.320191058771369,0.36537632963072153
S18,47,216048.0,P038,313070.0,P039,0.14406690200612082,0.10545011190819563,0.47910419746027233,-0.052736800879664744
S18,48,251105.0,P038,293300.0,P039,0.13487313107657337,0.12350010323254301,0.37073190522572186,0.13943353037307354
