Session,Frame,RightPlayerME,RightID,LeftPlayerME,LeftID,MinMaxLeftME,MinMaxRightME,ZscoreLeftME,ZscoreRightME
S08,1,269805.0,P018,1084416.0,P019,0.18355827968776428,0.08019537068563953,0.6703962256344098,-0.7907554641023347
S08,2,390532.0,P018,973442.0,P019,0.16320176273708517,0.1257678970887669,0.4713443498104331,-0.5742098244696168
S08,3,269083.0,P018,923565.0,P019,0.15405257467547598,0.0799228271447327,0.3818809582910458,-0.7920505012673005
S08,4,263585.0,P018,858646.0,P019,0.14214415717298767,0.07784741940525111,0.2654370279414437,-0.8019121554681062
S08,5,240487.0,P018,824633.0,P019,0.13590498213159555,0.06912829100100487,0.2044285804456256,-0.8433425826653075
S08,6,227490.0,P018,681528.0,P019,0.10965451483090412,0.06422212978055336,-0.05225603657989556,-0.8666550453149752
S08,7,254389.0,P018,660145.0,P019,0.10573212398299044,0.07437607535791158,-0.09061030209023216,-0.8184068393587228
S08,8,218311.0,P018,604379.0,P019,0.09550268713948142,0.060757202963401404,-0.19063667680142474,-0.8831192366407657
S08,9,288854.0,P018,653010.0,P019,0.10442331517693591,0.08738606585286121,-0.10340821091575952,-0.7565876483745883
S08,10,242463.0,P018,550269.0,P019,0.08557701867478476,0.06987419963927616,-0.2876927169625019,-0.8397982704243485
S08,11,265071.0,P018,559596.0,P019,0.08728791702574071,0.07840836082046931,-0.2709630609546962,-0.7992467465662515
S08,12,205654.0,P018,465896.0,P019,0.0701000564612965,0.055979386346701056,-0.4390309035548243,-0.9058218479939122
S08,13,211172.0,P018,579668.0,P019,0.09096982457376124,0.058062343768756235,-0.2349603102965343,-0.8959243201874287
S08,14,215818.0,P018,452855.0,P019,0.06770788047814903,0.05981613503060263,-0.462422288136983,-0.8875908815884939
S08,15,640716.0,P018,905566.0,P019,0.15075092790600497,0.2202083863383964,0.3495965068613798,-0.1254597163258553
S08,16,131367.0,P018,439455.0,P019,0.06524985132592329,0.027937222879464034,-0.4864576039410568,-1.0390689752429594
S08,17,180356.0,P018,435785.0,P019,0.06457664483423162,0.04642979285935923,-0.4930404105829188,-0.9511983718156629
S08,18,254139.0,P018,529737.0,P019,0.08181073102153857,0.07428170432574163,-0.32452056055125145,-0.8188552594296944
S08,19,198577.0,P018,535027.0,P019,0.08278110223163367,0.05330793116803404,-0.31503199184949393,-0.9185157233629742
S08,20,282645.0,P018,657261.0,P019,0.10520309741022782,0.08504226689788827,-0.0957832760289597,-0.7677246092572371
S08,21,226107.0,P018,627336.0,P019,0.09971380469527592,0.06370006923058918,-0.1494591585242514,-0.8691357051475898
S08,22,297051.0,P018,679082.0,P019,0.10920583279311723,0.09048030325564962,-0.056643378554280976,-0.7418848510875738
S08,23,272027.0,P018,603114.0,P019,0.09527064185011085,0.08103414041956605,-0.19290568236054065,-0.7867699065115398
S08,24,295123.0,P018,621853.0,P019,0.09870803052798834,0.08975251385555494,-0.15929390752079892,-0.7453430666749062
S08,25,275713.0,P018,601774.0,P019,0.09502483893488828,0.08242554691787984,-0.19530921394094805,-0.7801584009851356
S08,26,278905.0,P018,619573.0,P019,0.09828979870208723,0.08363047625662579,-0.16338349856805925,-0.7744329735189711
S08,27,232605.0,P018,573418.0,P019,0.08982335575276042,0.0661529610987506,-0.24617081207082245,-0.8574803706628978
S08,28,231916.0,P018,564775.0,P019,0.08823792694957482,0.0658928745340902,-0.26167359076445007,-0.8587162163784953
S08,29,202916.0,P018,377576.0,P019,0.05389907625796979,0.05494583480237573,-0.5974487462276452,-0.9107329446111924
S08,30,513554.0,P018,822477.0,P019,0.13550949624710312,0.17220674956721443,0.20056140575356715,-0.35354768858538027
S08,31,105133.0,P018,301077.0,P019,0.0398664813239312,0.018034304247677907,-0.7346634942646484,-1.0861243838104275
S08,32,334490.0,P018,342262.0,P019,0.04742125226679815,0.10461293154929299,-0.6607907717727991,-0.6747312549391619
S08,33,294147.0,P018,403454.0,P019,0.058646007481947246,0.08938408934596345,-0.5510318878412405,-0.747093698631979
S08,34,278577.0,P018,380662.0,P019,0.05446515670302715,0.08350666146241881,-0.5919134488715726,-0.7750213006520857
S08,35,306660.0,P018,400974.0,P019,0.05819108865377412,0.09410754824813392,-0.5554802149452781,-0.7246493772397122
S08,36,270562.0,P018,386952.0,P019,0.055618962924482374,0.08048112617105013,-0.580631199885929,-0.7893976481274328
S08,37,276310.0,P018,446936.0,P019,0.06662212864590843,0.08265090494270169,-0.47303908173730486,-0.7790875738556555
S08,38,255952.0,P018,465965.0,P019,0.07011271347708034,0.07496608305103811,-0.43890713961523614,-0.8156033170750089
S08,39,245330.0,P018,568660.0,P019,0.08895057196870892,0.07095644663620118,-0.25470514286155255,-0.8346557890504471
S08,40,192176.0,P018,549219.0,P019,0.08538441191285663,0.05089165526035457,-0.2895760812605823,-0.9299970708601292
S08,41,219742.0,P018,621965.0,P019,0.09872857524926067,0.06129738275154221,-0.1590930153290037,-0.8805524801545248
S08,42,187895.0,P018,573263.0,P019,0.0897949233259996,0.049275645705476316,-0.2464488325148248,-0.9376758161554456
S08,43,192597.0,P018,617394.0,P019,0.0978900938123335,0.051050576078528774,-0.16729192790664707,-0.9292419314606131
S08,44,174381.0,P018,358768.0,P019,0.05044903056430847,0.04417432519049736,-0.631184285006975,-0.9619156115118824
S08,45,489221.0,P018,888501.0,P019,0.14762060943714436,0.1630214282640486,0.3189873528168634,-0.3971933109331809
S08,46,81365.0,P018,473634.0,P019,0.07151947657920119,0.009062261477216189,-0.42515140551811365,-1.1287565767978325
S08,47,237574.0,P018,560629.0,P019,0.08747740539247571,0.06802867973416057,-0.26911018922144186,-0.8485675733322677
S08,48,339890.0,P018,760422.0,P019,0.12412643661715021,0.10665134584416397,0.08925457573701485,-0.665045381406177
S08,49,309576.0,P018,815312.0,P019,0.1341951843907078,0.09520829196736422,0.1877096865195232,-0.7194190055319003
S08,50,370140.0,P018,963275.0,P019,0.16133677897658674,0.11807024073672823,0.45310800236416304,-0.6107865528186223
S08,51,341354.0,P018,972600.0,P019,0.16304731045751994,0.10720398260855121,0.469834071011401,-0.6624194334705676
S08,52,327451.0,P018,980920.0,P019,0.16457348975203623,0.10195582076751583,0.48475749097333337,-0.6873569704574362
S08,53,295416.0,P018,902188.0,P019,0.15013128443763046,0.08986311670525812,0.3435374548624125,-0.7448175183517276
S08,54,302210.0,P018,922925.0,P019,0.1539351762682055,0.09242774387550876,0.3807330029093587,-0.7326312545030054
S08,55,270792.0,P018,931707.0,P019,0.15554610253797016,0.0805679475206465,0.39648510316244645,-0.7889851016621391
S08,56,343119.0,P018,973025.0,P019,0.163125270337348,0.10787024209567109,0.4705963851320526,-0.6592535877695087
S08,57,303391.0,P018,930328.0,P019,0.15529314565730454,0.09287355263147962,0.3940116180509675,-0.7305129180877359
S08,58,291204.0,P018,910591.0,P019,0.15167268883808963,0.08827315355525878,0.3586097502879075,-0.7523724997074559
S08,59,271139.0,P018,716845.0,P019,0.11613288912710983,0.08069893451329838,0.01109137000611003,-0.7883626946036306
S08,60,477839.0,P018,1066514.0,P019,0.18027442611439523,0.15872490391141503,0.6382857611922808,-0.41760897992437257
S08,61,89953.0,P018,713366.0,P019,0.11549471872258794,0.012304095174318394,0.004851156298470269,-1.1133524505198185
