Session,Frame,LeftPlayerME,LeftID,RightPlayerME,RightID,MinMaxLeftME,MinMaxRightME,ZscoreLeftME,ZscoreRightME
S20,1,0.0,P042,0.0,P043,0.0,0.0,-2.548793726736872,-2.548793726736872
S20,2,40.06444721381521,P042,36.88398177357168,P043,0.5182381095163852,0.5172524026579826,0.8014716158459477,0.5355150414081494
S20,3,38.33761782347901,P042,34.26111954870905,P043,0.49590137805147233,0.4804699913668254,0.6570708550386987,0.3161863092923376
S20,4,41.440357218796514,P042,36.60649981322376,P043,0.5360356594498912,0.5133610600267743,0.9165278296407134,0.5123114716700147
S20,5,40.70200051961548,P042,36.59747766684183,P043,0.5264849328944928,0.5132345355392113,0.8547850369215599,0.5115570226150264
S20,6,40.72254335260116,P042,31.08108108108108,P043,0.5267506567387229,0.43587386972184683,0.8565028677210984,0.05026543911743595
S20,7,38.47070707070707,P042,25.068152031454783,P043,0.4976229023623493,0.35154994783552485,0.6682000312402079,-0.4525471342063257
S20,8,35.41821247892074,P042,29.094190140845072,P043,0.45813854312199886,0.40801017216973373,0.4129446227553301,-0.1158821635448349
S20,9,32.78688524590164,P042,30.038824763903463,P043,0.4241020308126869,0.421257508951604,0.1929080305435097,-0.036890018161008876
S20,10,28.74108527131783,P042,30.883058470764617,P043,0.3717691552554581,0.4330968465795084,-0.14540946490409154,0.033706411487516075
S20,11,27.25409836065574,P042,32.012714857546506,P043,0.352534813113046,0.4489388856475232,-0.26975414099755446,0.1281704289607849
S20,12,27.573529411764707,P042,32.144456404736275,P043,0.3566666895161843,0.450786398538949,-0.2430427084358155,0.1391869079196142
S20,13,27.321428571428573,P042,31.766233766233768,P043,0.35340573692632204,0.44548229201091566,-0.26412386060313936,0.10755921090453502
S20,14,25.25,P042,30.723335771762983,P043,0.3266115764796205,0.430856932507194,-0.4373406609113179,0.020350095349340555
S20,15,23.142857142857142,P042,30.87323405880107,P043,0.29935544774935513,0.4329590713055686,-0.6135439577765339,0.032884875457402714
S20,16,26.361702127659573,P042,31.325947955390333,P043,0.3409915679445964,0.4393078259537243,-0.3443780127635319,0.07074167327503564
S20,17,24.357142857142858,P042,31.902185792349727,P043,0.315062369390525,0.44738885168189696,-0.5120030748372568,0.11892777812622758
S20,18,25.77142857142857,P042,32.44526578975976,P043,0.3333563134196522,0.45500487956143326,-0.39373781117856976,0.16434116131513637
S20,19,25.692307692307693,P042,32.33158776707164,P043,0.33233287599144934,0.45341068534656215,-0.4003540497049296,0.15483518866080695
S20,20,24.142857142857142,P042,32.770058805940394,P043,0.3122905596891421,0.45955970146263975,-0.5299220541794822,0.19150097160318907
S20,21,26.417721518987346,P042,30.442277279915658,P043,0.34171618504221984,0.42691543342805643,-0.33969356462235534,-0.003152550761049213
S20,22,25.23008849557522,P042,29.566143323488262,P043,0.3263540189409964,0.41462873410165585,-0.4390056988147991,-0.07641654000352431
S20,23,28.858736059479558,P042,26.05436337625179,P043,0.3732909813701342,0.36538034691652443,-0.13557128203831428,-0.3700782642053918
S20,24,32.2662037037037,P042,25.79332273449921,P043,0.4173669567793757,0.3617195735226212,0.14936764881706985,-0.3919069795849385
S20,25,33.3854351687389,P042,26.57851946940522,P043,0.4318443410661377,0.3727309903534458,0.24295991448903012,-0.3262473339139085
S20,26,30.19420783645656,P042,30.023701298701297,P043,0.39056545829775796,0.42104542098451964,-0.02389658984736016,-0.03815467111019774
S20,27,29.98373983739837,P042,33.30169729838305,P043,0.3878430311701973,0.4670152763311446,-0.04149632457486836,0.2359575943667105
S20,28,32.913939393939394,P042,33.19805104408353,P043,0.4257454904399695,0.46556176530860793,0.20353254026232856,0.22729049728148054
S20,29,33.67508610792193,P042,33.237751283613264,P043,0.4355910083879346,0.4661185122566169,0.26718107740218866,0.23061030688421602
S20,30,37.10209923664122,P042,29.242438235973214,P043,0.47991980682703816,0.4100891690596369,0.5537544388777839,-0.10348537562558283
S20,31,40.39792663476874,P042,29.339370418283742,P043,0.5225517031560344,0.4114485234943831,0.8293577998365245,-0.09537972202096
S20,32,37.066597294484914,P042,33.88707379618197,P043,0.47946058523116647,0.4752244605186003,0.550785698893281,0.284907891433632
S20,33,38.73927392739274,P042,34.557906458797326,P043,0.5010968447168951,0.4846320621341035,0.6906581030393399,0.34100419567660656
S20,34,40.08267370272648,P042,30.804253202338018,P043,0.5184738711907217,0.43199169977930657,0.8029957495445991,0.027116564928207222
S20,35,43.02832343535861,P042,27.32963988919668,P043,0.5565761802177218,0.3832645288474104,1.0493165875174437,-0.26343721458032987
S20,36,53.1445045045045,P042,26.6656050955414,P043,0.6874301147502776,0.37395225896897777,1.8952509056518807,-0.3189650680804597
S20,37,58.466382719805296,P042,28.07211862502808,P043,0.7562692051951069,0.39367687837054227,2.3402764927270128,-0.20134972930977593
S20,38,60.1325167037862,P042,28.090305043793418,P043,0.7778208347845832,0.3939319204877373,2.479601788115236,-0.19982894635300516
S20,39,58.73554115670746,P042,26.233221476510067,P043,0.7597507997059746,0.36788861141631135,2.362784033589979,-0.3551218093880423
S20,40,54.530480984340045,P042,23.85542168674699,P043,0.7053578756628621,0.33454289885618127,2.0111488972364695,-0.5539579541807
S20,41,40.94422827496757,P042,27.530227185213707,P043,0.5296181760248955,0.3860775185469612,0.8750405829281426,-0.2466637230500008
S20,42,44.69140871762476,P042,29.592578780533284,P043,0.5780883745092467,0.41499945881776273,1.1883869446647795,-0.07420595676296152
S20,43,57.10811491935484,P042,25.87207792207792,P043,0.738699859152072,0.36282401800063185,2.2266955536587654,-0.3853213208814638
